source_db2,hg19_chr_start_end,chrom_text,tx_start,tx_end,strand,gene_symbol,ogi_imprinting_Status,ogi_Expressed_Allele,Gene_id,Location,your_input,tax_id,entrez,title,location,chrom,status,type,aliases,database,id_position,id_ensembl,id_assembly,cds_start,cds_end,exon_count,exon_starts,exon_ends,canonical,source
gi,chr12_21958107_22089628,chr12,21958107,22089628,-,ABCC9,Predicted,Maternal,ABCC9,12p12,ABCC9,9606,10060,ATP binding cassette subfamily C member 9,12p12.1,12,active,protein-coding,"[ENSG00000069431, CCDS8693, RGD:3787, MGI:1352630, SUR2, OTTHUMG00000169094, uc001rfi.2, O60706, ABCC9, CMD1O, CCDS8694, LRG_377, HGNC:60, NM_005691, MIM:601439, ABC37, AF061323, ATFB12, CANTU]",EpiMed GENSYM,uc001rfi.1,,GRCh37,21958107,22089608,38,"[21958107, 21958931, 21960279, 21962785, 21964982, 21967577, 21968696, 21970120, 21971083, 21981891, 21991011, 21995247, 21997416, 21997700, 21998536, 22001083, 22005030, 22005301, 22012519, 22013904, 22015886, 22017372, 22025558, 22028587, 22035699, 22040759, 22046965, 22048208, 22059059, 22061010, 22063090, 22063759, 22065805, 22068601, 22069870, 22078875, 22086715, 22089466]","[21958245, 21958994, 21960413, 21962889, 21965091, 21967656, 21968827, 21970241, 21971185, 21981994, 21991104, 21995405, 21997486, 21997849, 21998766, 22001180, 22005156, 22005439, 22012600, 22013989, 22015988, 22017411, 22025664, 22028660, 22035807, 22040868, 22047108, 22048249, 22059222, 22061145, 22063246, 22063912, 22066000, 22068844, 22070037, 22078997, 22086857, 22089628]",TRUE,ucsc
gi,chr2_44066102_44105605,chr2,44066102,44105605,+,ABCG8,Predicted,Maternal,ABCG8,2p21 ,ABCG8,9606,64241,ATP binding cassette subfamily G member 8,2p21,2,active,protein-coding,"[ABCG8, OTTHUMG00000128756, GBD4, uc002rtq.3, HGNC:13887, Q9H221, NM_022437, STSL1, MGI:1914720, ENSG00000143921, CCDS1815, STSL, MIM:605460, RGD:620300, AF320294]",EpiMed GENSYM,uc002rtq.3,ENST00000272286,GRCh37,44066192,44105052,13,"[44066102, 44071645, 44073293, 44078722, 44079492, 44079737, 44099114, 44099361, 44100925, 44101545, 44102284, 44104699, 44104914]","[44066255, 44071747, 44073450, 44078961, 44079625, 44080007, 44099277, 44099445, 44101125, 44101622, 44102552, 44104827, 44105605]",TRUE,ucsc
added_list_fc,chr9_136130562_136150630,chr9,136130562,136150630,-,ABO,,,ABO,9q34.2,28,9606,28,"ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase",9q34.2,9,active,protein-coding,"[ENSG00000175164, A3GALNT, MIM:110300, NM_020469, NAGAT, ABO, AF134415, P16442, RGD:2307241, GTB, uc064wua.1, ENSG00000281879, OTTHUMG00000020872, HGNC:79, MGI:2135738, A3GALT1]",EpiMed GENUID,uc004cda.1,,GRCh37,136131052,136150605,8,"[136130562, 136132795, 136132910, 136133486, 136135222, 136136720, 136137501, 136150577]","[136131743, 136132908, 136132929, 136133522, 136135270, 136136777, 136137571, 136150630]",FALSE,ucsc
gi,chr16_67691414_67694718,chr16,67691414,67694718,-,ACD,Predicted,Maternal,ACD,16q22,ACD,9606,65057,ACD shelterin complex subunit and telomerase recruitment factor,16q22.1,16,active,protein-coding,"[PTOP, CCDS10842, ACD, Ptop, RGD:1565053, Q96AP0, uc002etp.5, Tint1, NM_022914, CCDS42181, HGNC:25070, TINT1, AF070535, ENSG00000102977, OTTHUMG00000137547, TPP1, Tpp1, MGI:87873, MIM:609377, PIP1, Pip1]",EpiMed GENSYM,uc002etp.4,,GRCh37,67691508,67694381,12,"[67691414, 67691664, 67691888, 67692457, 67692622, 67692830, 67693131, 67693277, 67693439, 67693604, 67693805, 67694024]","[67691587, 67691756, 67692265, 67692544, 67692719, 67692982, 67693166, 67693322, 67693516, 67693698, 67693939, 67694718]",TRUE,ucsc
gi,chr5_5140442_5320412,chr5,5140442,5320412,+,ADAMTS16,Predicted,Maternal,ADAMTS16,5p15 ,ADAMTS16,9606,170690,ADAM metallopeptidase with thrombospondin type 1 motif 16,5p15.32,5,active,protein-coding,"[MIM:607510, uc003jdl.4, AJ315734, HGNC:17108, Q8TE57, ENSG00000145536, ADAMTS16s, ADAMTS16, NM_139056, CCDS43299, OTTHUMG00000161663, RGD:1310046, MGI:2429637]",EpiMed GENSYM,uc003jdl.3,,GRCh37,5140580,5319251,23,"[5140442, 5140776, 5146242, 5182156, 5186164, 5187837, 5190083, 5191797, 5200244, 5209205, 5222901, 5232480, 5235126, 5237081, 5239263, 5239793, 5242165, 5262769, 5303380, 5303684, 5306616, 5318246, 5319135]","[5140652, 5140879, 5146568, 5182418, 5186364, 5187921, 5190243, 5191903, 5200382, 5209359, 5222997, 5232629, 5235299, 5237212, 5239387, 5240038, 5242304, 5262896, 5303582, 5303879, 5306841, 5318394, 5320412]",TRUE,ucsc
gi,chr6_11713887_11779280,chr6,11713887,11779280,-,ADTRP,Imprinted,Maternal,C6orf105,6p24,ADTRP,9606,84830,androgen dependent TFPI regulating protein,6p24.1,6,active,protein-coding,"[HGNC:21214, RGD:1305679, MGI:1924596, dJ413H6.1, CCDS47374, Q96IZ2, AJ420520, MIM:614348, ENSG00000111863, OTTHUMG00000014260, CCDS4521, AIG1L, C6orf105, NM_032744, ADTRP, uc003nab.4]",EpiMed GENSYM,uc003nab.3,,GRCh37,11714710,11778992,6,"[11713887, 11723581, 11735800, 11766506, 11768481, 11778839]","[11714745, 11723733, 11735916, 11766608, 11768616, 11779280]",TRUE,ucsc
gi,chr3_125822403_125899645,chr3,125822403,125899645,-,ALDH1L1,Predicted,Maternal,ALDH1L1,3q21,ALDH1L1,9606,10840,aldehyde dehydrogenase 1 family member L1,3q21.3,3,active,protein-coding,"[10-FTHFDH, NM_012190, ALDH1L1, CCDS58851, AF052732, CCDS58850, FDH, ENSG00000144908, OTTHUMG00000125551, O75891, CCDS3034, MGI:1340024, RGD:621294, MIM:600249, 10-fTHF, FTHFD, HGNC:3978, uc003eim.3]",EpiMed GENSYM,uc003eim.2,,GRCh37,125822633,125879822,23,"[125822403, 125824568, 125825983, 125828786, 125831624, 125833399, 125836847, 125843206, 125844458, 125849065, 125850226, 125854377, 125855606, 125856655, 125865677, 125869248, 125872286, 125873396, 125874244, 125876185, 125877247, 125879695, 125899318]","[125822689, 125824768, 125826089, 125828952, 125831723, 125833499, 125836941, 125843294, 125844564, 125849136, 125850377, 125854505, 125855726, 125856803, 125865769, 125869374, 125872424, 125873486, 125874346, 125876351, 125877482, 125879845, 125899645]",TRUE,ucsc
gi,chr11_10476665_10529126,chr11,10476665,10529126,+,AMPD3,Not_Imprinted,Biallelic,AMPD3,11p15 ,AMPD3,9606,272,adenosine monophosphate deaminase 3,11p15.4,11,active,protein-coding,"[ENSG00000133805, CCDS41617, RGD:2111, MGI:1096344, AMPD3, OTTHUMG00000165682, uc001mio.2, CCDS53601, MIM:102772, HGNC:470, Q01432, CCDS7802, NM_000480, M84722, CCDS44537]",EpiMed GENSYM,uc001mio.1,,GRCh37,10483066,10527431,15,"[10476665, 10483061, 10500072, 10503609, 10506366, 10508781, 10514895, 10516445, 10517116, 10518358, 10521632, 10523016, 10524267, 10526095, 10527254]","[10476995, 10483287, 10500277, 10503772, 10506586, 10508911, 10515090, 10516577, 10517280, 10518485, 10521796, 10523137, 10524441, 10526206, 10529126]",TRUE,ucsc
gi_otago,chr11_69924407_70035652,chr11,69924407,70035652,+,ANO1,Imprinted,Maternal,ANO1,11q13,ANO1,9606,55107,anoctamin 1,11q13.3,11,active,protein-coding,"[MIM:610108, ENSG00000131620, NM_018043, HGNC:21625, OTTHUMG00000167204, ANO1, FLJ10261, CCDS44663, DOG1, uc001opj.4, Q5XXA6, MGI:2142149, BC033036, TMEM16A, RGD:1310786, ORAOV2, TAOS2]",EpiMed GENSYM,uc001opj.3,,GRCh37,69924712,70034110,26,"[69924407, 69933857, 69949171, 69950104, 69951839, 69954458, 69957812, 69962563, 69970455, 69972166, 69978024, 69995815, 69998555, 69999162, 70002016, 70003052, 70007266, 70007727, 70009388, 70011575, 70013347, 70016992, 70026109, 70028607, 70031695, 70033843]","[69924820, 69934190, 69949270, 69950256, 69951894, 69954510, 69957868, 69962605, 69970520, 69972301, 69978185, 69995898, 69998567, 69999234, 70002094, 70003127, 70007468, 70007839, 70009446, 70011676, 70013493, 70017145, 70026162, 70028792, 70031801, 70035652]",TRUE,ucsc
gi,chr9_72042448_72287275,chr9,72042448,72287275,-,APBA1,Predicted,Paternal,APBA1,9q13-q21,APBA1,9606,320,amyloid beta precursor protein binding family A member 1,9q21.12,9,active,protein-coding,"[LIN10, X11A, AF029106, HGNC:578, MGI:1860297, MIM:602414, CCDS6630, X11ALPHA, OTTHUMG00000019984, uc004ahh.3, MINT1, Q02410, NM_001163, ENSG00000107282, RGD:620844, X11, D9S411E, APBA1, ENSG00000276497]",EpiMed GENSYM,uc004ahh.2,,GRCh37,72046242,72132126,13,"[72042448, 72047451, 72055911, 72064499, 72067037, 72071162, 72071968, 72073071, 72082738, 72086571, 72090963, 72130926, 72287068]","[72046314, 72047592, 72056031, 72064712, 72067217, 72071348, 72072055, 72073104, 72082884, 72086611, 72091059, 72132195, 72287275]",TRUE,ucsc
added_list_fc,chr5_112073555_112181936,chr5,112073555,112181936,+,APC,,,APC,5q22.2,324,9606,324,APC regulator of WNT signaling pathway,5q22.2,5,active,protein-coding,"[P25054, M74088, NM_000038, MIM:611731, DP3, PPP1R46, RGD:2123, DP2, LRG_130, GS, DP2.5, ENSG00000134982, CCDS4107, MGI:88039, BTPS2, APC, DESMD, OTTHUMG00000128806, uc003kpy.5, HGNC:583]",EpiMed GENUID,uc003kpy.4,,GRCh37,112090587,112179823,16,"[112073555, 112090569, 112102022, 112102885, 112111325, 112116486, 112128142, 112136975, 112151191, 112154662, 112157592, 112162804, 112163625, 112164552, 112170647, 112173249]","[112073622, 112090722, 112102107, 112103087, 112111434, 112116600, 112128226, 112137080, 112151290, 112155041, 112157688, 112162944, 112163703, 112164669, 112170862, 112181936]",TRUE,ucsc
